"","Variable","Means Treated Full","Means Control Full","StdMD Full","Means Treated PSM","Means Control PSM","StdMD PSM","NA","NA","NA","NA"
"1","age_group1",0.009,0.028,-0.2,0.009,0.009,0,NA,0,0,NA
"2","age_group2",0.153,0.2,-0.13,0.153,0.158,-0.013,NA,0.005,0.005,NA
"3","age_group3",0.838,0.772,0.178,0.838,0.833,0.012,NA,0.005,0.005,NA
"4","anticholinergic0",0.901,0.6,1.007,0.901,0.604,0.995,NA,0.297,0.297,NA
"5","anticholinergic1",0.099,0.4,-1.007,0.099,0.396,-0.995,NA,0.297,0.297,NA
"6","anticoagulant0",0.982,0.991,-0.066,0.982,0.973,0.068,NA,0.009,0.009,NA
"7","anticoagulant1",0.018,0.009,0.066,0.018,0.027,-0.068,NA,0.009,0.009,NA
"8","antidepressant0",0.856,0.637,0.623,0.856,0.649,0.59,NA,0.207,0.207,NA
"9","antidepressant1",0.144,0.363,-0.623,0.144,0.351,-0.59,NA,0.207,0.207,NA
"10","antiplatelet0",0.878,0.882,-0.012,0.878,0.883,-0.014,NA,0.005,0.005,NA
"11","antiplatelet1",0.122,0.118,0.012,0.122,0.117,0.014,NA,0.005,0.005,NA
"12","antipsychotics0",0.991,0.992,-0.013,0.991,0.986,0.048,NA,0.005,0.005,NA
"13","antipsychotics1",0.009,0.008,0.013,0.009,0.014,-0.048,NA,0.005,0.005,NA
"14","asthma0",0.995,0.983,0.187,0.995,0.991,0.067,NA,0.005,0.005,NA
"15","asthma1",0.005,0.017,-0.187,0.005,0.009,-0.067,NA,0.005,0.005,NA
"16","cardiovascular_disease0",0.887,0.881,0.021,0.887,0.887,0,NA,0,0,NA
"17","cardiovascular_disease1",0.113,0.119,-0.021,0.113,0.113,0,NA,0,0,NA
"18","cci",2.509,2.336,0.131,2.509,2.432,0.058,1.365,0.008,0.018,NA
"19","cci_group0",0,0.005,-0.079,NA,NA,NA,NA,NA,NA,NA
"20","cci_group1",0.905,0.93,-0.085,0.905,0.91,-0.015,NA,0.005,0.005,NA
"21","cci_group2",0.054,0.054,-0.001,0.054,0.059,-0.02,NA,0.005,0.005,NA
"22","cci_group3",0.041,0.011,0.151,0.041,0.032,0.046,NA,0.009,0.009,NA
"23","copd0",0.991,0.964,0.282,0.991,0.991,0,NA,0,0,NA
"24","copd1",0.009,0.036,-0.282,0.009,0.009,0,NA,0,0,NA
"25","diabetes0",0.914,0.932,-0.062,0.914,0.923,-0.032,NA,0.009,0.009,NA
"26","diabetes1",0.086,0.068,0.062,0.086,0.077,0.032,NA,0.009,0.009,NA
"27","distance",0.359,0.221,0.931,0.576,0.424,1.076,0.44,0.201,0.347,NA
"28","dyslipidemia0",0.91,0.891,0.064,0.91,0.901,0.031,NA,0.009,0.009,NA
"29","dyslipidemia1",0.09,0.109,-0.064,0.09,0.099,-0.031,NA,0.009,0.009,NA
"30","hypertension0",0.883,0.848,0.108,0.883,0.892,-0.028,NA,0.009,0.009,NA
"31","hypertension1",0.117,0.152,-0.108,0.117,0.108,0.028,NA,0.009,0.009,NA
"32","liver_disease0",0.959,0.978,-0.096,0.959,0.955,0.023,NA,0.005,0.005,NA
"33","liver_disease1",0.041,0.022,0.096,0.041,0.045,-0.023,NA,0.005,0.005,NA
"34","metastatic_cancer0",0.959,0.992,-0.166,0.959,0.977,-0.091,NA,0.018,0.018,NA
"35","metastatic_cancer1",0.041,0.008,0.166,0.041,0.023,0.091,NA,0.018,0.018,NA
"36","peripheral_vascular_disease0",0.991,0.988,0.036,0.991,0.995,-0.048,NA,0.005,0.005,NA
"37","peripheral_vascular_disease1",0.009,0.012,-0.036,0.009,0.005,0.048,NA,0.005,0.005,NA
"38","person_age",63.86,63.087,0.174,63.86,63.703,0.036,0.911,0.01,0.027,NA
"39","statin0",0.887,0.87,0.056,0.887,0.874,0.043,NA,0.014,0.014,NA
"40","statin1",0.113,0.13,-0.056,0.113,0.126,-0.043,NA,0.014,0.014,NA
